cartera,entidad
CS4,Cencosud
B19,Banco Saenz (Fravega)
NARANJA01,Tarjeta Naranja
EFECTIVOSI02,Efectivo Si
B21,Banco Saenz (Fravega)
EFECTIVOSI01,Efectivo Si
CP3,Coppel
NARANJA06,Tarjeta Naranja
BS1,Banco Saenz (Fravega)
B18,Banco Saenz (Fravega)
CS3,Cencosud
BS3,Banco Saenz (Fravega)
CARREFOUR02,Carrefour
CS00,Cencosud
STD01,Banco Santander
CREDARGENTINO01,Credito Argentino
B20,Banco Saenz (Fravega)
BS9,Banco Saenz (Fravega)
BS7,Banco Saenz (Fravega)
VOII01,VOII
BS4,Banco Saenz (Fravega)
BSF01,Banco de Santa Fe
CARREFOUR01,Carrefour
B17,Banco Saenz (Fravega)
CS2,Cencosud
CP7,Coppel
VENTO01,Vento
B22,Banco Saenz (Fravega)
NARANJA02,Tarjeta Naranja
CP5,Coppel
BS8,Banco Saenz (Fravega)
NARANJA04,Tarjeta Naranja
B15,Banco Saenz (Fravega)
B14,Banco Saenz (Fravega)
B13,Banco Saenz (Fravega)
CP4,Coppel
CP1,Coppel
BS5,Banco Saenz (Fravega)
B10,Banco Saenz (Fravega)
STD,Banco Santander
STD04,Banco Santander
B11,Banco Saenz (Fravega)
STD00,Banco Santander
MUSIMUNDO02,Musimundo
STD02,Banco Santander
BSC03,Banco de Santa Cruz
CREDIPAZ02,Credipaz
GOCUOTAS07,Go Cuotas
BERSA02,Banco de Entre Rios
BSJ02,Banco de San Juan
BSJ01,Banco de San Juan
B16,Banco Saenz (Fravega)
ITAU01,Banco Itau
CS1,Cencosud
CREDIPAZ01,Credipaz
BS6,Banco Saenz (Fravega)
HSBC01,HSBC
CARREFOUR03,Carrefour
BERSA01,Banco de Entre Rios
MONI01,Moni
GOCUOTAS06,Go Cuotas
STD05,Banco Santander
MONI02,Moni
CP2,Coppel
CP6,Coppel
STDPAKTAR01,Banco Santander
NARANJA03,Tarjeta Naranja
CARREFOUR05,Carrefour
MUSIMUNDO01,Musimundo
NARANJA08,Tarjeta Naranja
NARANJA09,Tarjeta Naranja
CARREFOUR07,Carrefour
STD03,Banco Santander
BS2,Banco Saenz (Fravega)
CARREFOUR10,Carrefour
MACRO01,Banco Macro
PLATA01,Tarjeta Plata
CIUDAD03,Banco Ciudad
ITAU00,Banco Itau
BSC04,Banco de Santa Cruz
GLC,Banco Galicia
BSF02,Banco de Santa Fe
GOCUOTAS01,Go Cuotas
ITAU02,Banco Itau
B12,Banco Saenz (Fravega)
GOCUOTAS03,Go Cuotas
CREDARGENTINO05,Credito Argentino
GOCUOTAS02,Go Cuotas
BSC01,Banco de Santa Cruz
CP8,Coppel
STDPAKTAR02,Banco Santander
CP9,Coppel
NARANJA05,Tarjeta Naranja
AMUS01,AMUS
UALA02,Uala
PLATA02,Tarjeta Plata
NARANJA10,Tarjeta Naranja
CP10,Coppel
NARANJA07,Tarjeta Naranja
CEIBO01,Ceibo
STD06,Banco Santander
WIBOND01,Wibond
BSF04,Banco de Santa Fe
GLC04,Banco Galicia
CARREFOUR04,Carrefour
VOII02,VOII
CARREFOUR09,Carrefour
GLC02,Banco Galicia
CEIBO02,Ceibo
CREDARGENTINO04,Credito Argentino
CARREFOUR06,Carrefour
MUSIMUNDO05,Musimundo
BANCOR01,Banco de Cordoba
BSC02,Banco de Santa Cruz
GLC03,Banco Galicia
CIUDAD02,Banco Ciudad
CREDARGENTINO02,Credito Argentino
UALA01,Uala
WAYNI01,Waynimovil
ICBC01,ICBC
BSF03,Banco de Santa Fe
CREDARGENTINO06,Credito Argentino
MUSIMUNDO04,Musimundo
BSJ05,Banco de San Juan
CREDILOW01,Credilow
CREDARGENTINO03,Credito Argentino
COPPEL,Coppel
GLC05,Banco Galicia
CARREFOUR08,Carrefour
CARREFOUR11,Carrefour
BSF06,Banco de Santa Fe
AMUS02,AMUS
MUSIMUNDO03,Musimundo
